month,commodity_name,avg_modal_price
2011-05-01,wheat,1204.82
2011-05-01,barley (jau),1176.5
2011-05-01,coconut,4458.83
2011-05-01,coffee,16131.67
2011-05-01,cotton,3611.17
2011-05-01,sugarcane,263.33
2011-05-01,tea,17101.22
2011-05-01,maize,1076.34
2011-05-01,rice,1968.13
2011-05-01,sunflower,2868.25
2011-05-01,turmeric,9832.93
2011-05-01,groundnut,3333.94
2011-05-01,jowar(sorghum),1729.2
2011-05-01,sugar,2987.55
2011-06-01,jowar(sorghum),1741.42
2011-06-01,coconut,4517.1
2011-06-01,coffee,17484.31
2011-06-01,sunflower,2831.82
2011-06-01,barley (jau),1139.56
2011-06-01,rice,1966.48
2011-06-01,maize,1087.63
2011-06-01,wheat,1164.28
2011-06-01,tea,16472.97
2011-06-01,ginger(dry),3217.6
2011-06-01,cotton,3356.15
2011-06-01,groundnut,3467.94
2011-06-01,sugar,2952.81
2011-06-01,turmeric,8537.28
2011-06-01,sugarcane,1978.33
2011-07-01,tea,15739.87
2011-07-01,millets,718.75
2011-07-01,coconut,4308.42
2011-07-01,cotton,3325.36
2011-07-01,ginger(dry),3279.49
2011-07-01,rice,1947.34
2011-07-01,groundnut,3478.7
2011-07-01,sugar,2993.43
2011-07-01,wheat,1156.79
2011-07-01,turmeric,8486.13
2011-07-01,coffee,17285.96
2011-07-01,barley (jau),1096.42
2011-07-01,maize,1091.74
2011-07-01,sugarcane,2950.0
2011-07-01,sunflower,2834.26
2011-07-01,jowar(sorghum),1741.92
2011-08-01,wheat,1134.02
2011-08-01,ginger(dry),3012.53
2011-08-01,turmeric,8488.91
2011-08-01,sugarcane,200.0
2011-08-01,barley (jau),1069.94
2011-08-01,jowar(sorghum),1686.86
2011-08-01,cotton,3481.92
2011-08-01,maize,1073.85
2011-08-01,rice,1958.82
2011-08-01,groundnut,3413.59
2011-08-01,sugar,2993.27
2011-08-01,tea,15986.54
2011-08-01,sunflower,2988.94
2011-08-01,coconut,4468.11
2011-08-01,millets,382.35
2011-08-01,coffee,17782.35
2011-09-01,groundnut,3301.76
2011-09-01,tea,16933.9
2011-09-01,wheat,1111.09
2011-09-01,ginger(dry),2690.32
2011-09-01,rice,1961.12
2011-09-01,turmeric,7096.06
2011-09-01,maize,1025.9
2011-09-01,coconut,4257.95
2011-09-01,sunflower,2998.79
2011-09-01,cotton,3774.44
2011-09-01,sugar,3013.27
2011-09-01,millets,500.0
2011-09-01,barley (jau),1028.3
2011-09-01,jowar(sorghum),1639.99
2011-09-01,coffee,13472.92
2011-10-01,coffee,15213.43
2011-10-01,groundnut,3136.74
2011-10-01,wheat,1094.55
2011-10-01,ginger(dry),2413.96
2011-10-01,barley (jau),1017.35
2011-10-01,tea,14439.02
2011-10-01,turmeric,7590.9
2011-10-01,rice,1946.79
2011-10-01,jowar(sorghum),1572.81
2011-10-01,sugarcane,303.33
2011-10-01,sugar,3037.19
2011-10-01,sunflower,2900.22
2011-10-01,millets,800.56
2011-10-01,cotton,4167.09
2011-10-01,maize,974.87
2011-10-01,coconut,4197.4
2011-11-01,sugar,3115.64
2011-11-01,jowar(sorghum),1558.3
2011-11-01,sunflower,2933.45
2011-11-01,turmeric,6841.04
2011-11-01,coconut,4928.63
2011-11-01,ginger(dry),2359.34
2011-11-01,groundnut,3247.74
2011-11-01,cotton,4144.55
2011-11-01,sugarcane,620.77
2011-11-01,millets,1750.0
2011-11-01,rice,1947.31
2011-11-01,wheat,1117.54
2011-11-01,maize,998.14
2011-11-01,tea,14373.08
2011-11-01,barley (jau),1031.93
2011-11-01,coffee,15716.67
2011-12-01,coffee,12054.63
2011-12-01,maize,1030.97
2011-12-01,sugar,3218.29
2011-12-01,turmeric,6117.89
2011-12-01,cotton,3950.49
2011-12-01,jowar(sorghum),1658.97
2011-12-01,sunflower,3009.98
2011-12-01,rice,1965.86
2011-12-01,sugarcane,905.25
2011-12-01,coconut,3895.12
2011-12-01,groundnut,3399.42
2011-12-01,barley (jau),1035.97
2011-12-01,wheat,1124.0
2011-12-01,ginger(dry),2047.93
2011-12-01,tea,15293.51
2012-01-01,tea,16043.84
2012-01-01,cotton,4162.38
2012-01-01,groundnut,3677.5
2012-01-01,barley (jau),1089.68
2012-01-01,coconut,3766.28
2012-01-01,coffee,11181.4
2012-01-01,jowar(sorghum),1686.55
2012-01-01,maize,1100.3
2012-01-01,sugar,3175.97
2012-01-01,turmeric,5917.15
2012-01-01,ginger(dry),1954.64
2012-01-01,wheat,1189.65
2012-01-01,rice,1973.31
2012-01-01,sunflower,2992.04
2012-01-01,sugarcane,1029.98
2012-02-01,millets,1325.0
2012-02-01,sunflower,2895.36
2012-02-01,ginger(dry),1993.01
2012-02-01,barley (jau),1094.34
2012-02-01,wheat,1196.12
